question,answer,category
What courses are offered?,BCA MCA MBA BTech programs are available,Academics
What programs are available?,BCA MCA MBA BTech programs are available,Academics
List available courses,BCA MCA MBA BTech programs are available,Academics
What is MBA fee?,MBA fee is approximately 1.8 lakh per year,Fees
How much is MBA cost?,MBA fee is approximately 1.8 lakh per year,Fees
MBA fees?,MBA fee is approximately 1.8 lakh per year,Fees
What is BCA fee?,BCA fee is approximately 150000 per year,Fees
How much is BCA cost?,BCA fee is approximately 150000 per year,Fees
BCA fees?,BCA fee is approximately 150000 per year,Fees
Is hostel available?,Yes hostel facility is available,Facilities
Do you have hostel?,Yes hostel facility is available,Facilities
Hostel facility?,Yes hostel facility is available,Facilities
What is eligibility for MBA?,Graduation with minimum 50 percent required,Admission
MBA eligibility?,Graduation with minimum 50 percent required,Admission
Who can apply for MBA?,Graduation with minimum 50 percent required,Admission
What is eligibility for BCA?,12th pass with required marks,Admission
BCA eligibility?,12th pass with required marks,Admission
Who can apply for BCA?,12th pass with required marks,Admission
Where is college located?,College is located in kolhapur,Location
College location?,College is located in kolhapur,Location
Where is campus?,College is located in kolhapur,Location
Is transport available?,Yes transport facility is available,Facilities
Do you provide bus?,Yes transport facility is available,Facilities
Transport facility?,Yes transport facility is available,Facilities
Is WiFi available?,Yes WiFi is available on campus,Facilities
Do you have internet?,Yes WiFi is available on campus,Facilities
WiFi facility?,Yes WiFi is available on campus,Facilities
Is library available?,Yes library is available,Facilities
Do you have library?,Yes library is available,Facilities
Library facility?,Yes library is available,Facilities
Are labs available?,Yes labs are available,Facilities
Lab facility?,Yes labs are available,Facilities
Laboratory available?,Yes labs are available,Facilities
Is placement available?,Yes placement support is provided,Placement
Do you provide placement?,Yes placement support is provided,Placement
Placement support?,Yes placement support is provided,Placement
What is average package?,Average package is around 4 to 6 LPA,Placement
Average salary?,Average package is around 4 to 6 LPA,Placement
Placement package?,Average package is around 4 to 6 LPA,Placement
What is highest package?,Highest package is around 10 LPA,Placement
Top package?,Highest package is around 10 LPA,Placement
Highest salary offered?,Highest package is around 10 LPA,Placement
Do companies visit campus?,Yes companies visit for recruitment,Placement
Campus companies?,Yes companies visit for recruitment,Placement
Recruiters?,Yes companies visit for recruitment,Placement
Is internship available?,Yes internship support is available,Placement
Do you provide internship?,Yes internship support is available,Placement
Internship support?,Yes internship support is available,Placement
What is admission process?,Apply online through official process,Admission
How to apply?,Apply online through official process,Admission
Admission steps?,Apply online through official process,Admission
Is entrance exam required?,Entrance exam required for some courses,Admission
Entrance needed?,Entrance exam required for some courses,Admission
Admission exam?,Entrance exam required for some courses,Admission
What documents are required?,Marksheets ID proof and photos required,Admission
Documents needed?,Marksheets ID proof and photos required,Admission
Admission documents?,Marksheets ID proof and photos required,Admission
When does admission start?,Admissions start in June,Admission
Admission start date?,Admissions start in June,Admission
Admission timing?,Admissions start in June,Admission
What is last date for admission?,Check official website for deadline,Admission
Admission deadline?,Check official website for deadline,Admission
Last date apply?,Check official website for deadline,Admission
Is scholarship available?,Yes scholarships are available,Fees
Scholarship details?,Yes scholarships are available,Fees
Do you provide scholarship?,Yes scholarships are available,Fees
Is installment available?,Yes fees can be paid in installments,Fees
Can I pay fees in parts?,Yes fees can be paid in installments,Fees
Installment option?,Yes fees can be paid in installments,Fees
Is refund available?,Refund is as per policy,Fees
Refund policy?,Refund is as per policy,Fees
Can I get refund?,Refund is as per policy,Fees
Is canteen available?,Yes canteen is available,Facilities
Food facility?,Yes canteen is available,Facilities
Canteen services?,Yes canteen is available,Facilities
Is medical facility available?,Yes medical support is available,Facilities
Health services?,Yes medical support is available,Facilities
Medical support?,Yes medical support is available,Facilities
Are sports available?,Yes sports facilities are available,Facilities
Sports facility?,Yes sports facilities are available,Facilities
Games available?,Yes sports facilities are available,Facilities
Are events conducted?,Yes events are organized,General
College events?,Yes events are organized,General
Cultural activities?,Yes events are organized,General
Is attendance compulsory?,Minimum 75 percent attendance required,General
Attendance rules?,Minimum 75 percent attendance required,General
Minimum attendance?,Minimum 75 percent attendance required,General
Is uniform required?,Uniform required for some courses,General
Dress code?,Uniform required for some courses,General
Uniform rules?,Uniform required for some courses,General
Is campus safe?,Yes campus is secure,General
Security available?,Yes campus is secure,General
Campus safety?,Yes campus is secure,General
What is BTech?,BTech is a 4 year undergraduate engineering program,Academics
What is the duration of BTech?,BTech duration is 4 years,Academics
Is BTech available?,Yes BTech program is available,Academics
What are BTech specializations?,Computer Science Mechanical Civil Electrical,Academics
Which branches are available in BTech?,CSE IT Mechanical Civil Electrical,Academics
What is eligibility for BTech?,12th pass with PCM required,Admission
Who can apply for BTech?,Students with PCM can apply,Admission
Is entrance exam required for BTech?,Yes entrance exam may be required,Admission
What is BTech fee?,BTech fee is approximately 137500 lakh per year,Fees
How much is BTech cost?,BTech fee is approximately 137500 lakh per year,Fees
BTech fees?,BTech fee is approximately 137500 lakh per year,Fees
Is lateral entry available in BTech?,Yes diploma students can join second year,Admission
What is lateral entry in BTech?,Direct entry into second year for diploma students,Admission
Are placements available for BTech?,Yes placement support is available,Placement
What is average package for BTech?,Average package is around 4 to 6 LPA,Placement
What is highest package for BTech?,Highest package is around 10 LPA,Placement
Do companies hire BTech students?,Yes companies recruit BTech students,Placement
Which companies visit for BTech?,IT and core companies visit,Placement
Are internships available for BTech?,Yes internships are available,Placement
Is training provided for BTech?,Yes training programs are available,Placement
Are labs available for BTech?,Yes advanced labs are available,Facilities
Is project work included in BTech?,Yes final year project is compulsory,Academics
Is hostel available for BTech students?,Yes hostel is available,Facilities
Do BTech students get scholarships?,Yes scholarships are available,Fees
Btech courses,"computer science, AIML< civil engineering, mechanical engineering",course
